location,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,price_per_sqft,listing_month,listing_year,location_tier,total_rooms,bed_bath_ratio
Westlands,Apartment,2,3,1,1496,16600000,11096.26,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1464,16200000,11065.57,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1464,16200000,11065.57,2,2026,High End,5,0.67
Kilimani,Apartment,2,2,1,1292,14800000,11455.11,2,2026,Mid Range,4,1.0
Kilimani,Apartment,2,2,1,1130,9700000,8584.07,2,2026,Mid Range,4,1.0
Kilimani,Apartment,2,2,1,1184,11800000,9966.22,2,2026,Mid Range,4,1.0
Kilimani,Apartment,2,2,1,1216,12800000,10526.32,2,2026,Mid Range,4,1.0
Westlands,Apartment,2,2,1,969,14000000,14447.88,2,2026,High End,4,1.0
Westlands,Apartment,1,1,1,689,8800000,12772.13,2,2026,High End,2,1.0
Westlands,Apartment,2,3,1,1152,12300000,10677.08,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1152,12300000,10677.08,2,2026,High End,5,0.67
Kilimani,Apartment,4,5,2,2476,26500000,10702.75,2,2026,Mid Range,9,0.8
Kilimani,Apartment,5,6,3,2799,28200000,10075.03,2,2026,Mid Range,11,0.83
Kilimani,Apartment,3,3,1,1399,15800000,11293.78,2,2026,Mid Range,6,1.0
Westlands,Apartment,2,2,2,1163,10757000,9249.36,2,2026,High End,4,1.0
Westlands,Apartment,2,2,2,1163,10757000,9249.36,2,2026,High End,4,1.0
Westlands,Apartment,2,2,2,1163,10757000,9249.36,2,2026,High End,4,1.0
Westlands,Apartment,3,3,2,1668,21714000,13017.99,2,2026,High End,6,1.0
Westlands,Apartment,3,3,2,1668,21714000,13017.99,2,2026,High End,6,1.0
Westlands,Apartment,3,3,2,1668,21714000,13017.99,2,2026,High End,6,1.0
Kilimani,Apartment,2,1,1,463,5200000,11231.1,2,2026,Mid Range,3,2.0
Kilimani,Apartment,4,5,2,2476,26500000,10702.75,2,2026,Mid Range,9,0.8
Westlands,Apartment,4,5,3,2271,27500000,12109.2,2,2026,High End,9,0.8
Westlands,Apartment,4,5,2,2293,31000000,13519.41,2,2026,High End,9,0.8
Westlands,Apartment,5,6,4,2863,35000000,12224.94,2,2026,High End,11,0.83
Riverside,Apartment,2,2,1,1227,13600000,11083.94,2,2026,High End,4,1.0
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Westlands,Apartment,1,1,1,409,7749000,18946.21,2,2026,High End,2,1.0
Riverside,Apartment,2,2,1,1389,15600000,11231.1,2,2026,High End,4,1.0
Riverside,Apartment,3,4,2,1873,21000000,11211.96,2,2026,High End,7,0.75
Westlands,Apartment,2,3,1,1184,13000000,10979.73,2,2026,High End,5,0.67
Westlands,Apartment,2,2,1,883,12000000,13590.03,2,2026,High End,4,1.0
Kileleshwa,Apartment,1,1,1,710,7000000,9859.15,2,2026,Mid Range,2,1.0
Kileleshwa,Apartment,1,1,1,700,6900000,9857.14,2,2026,Mid Range,2,1.0
Westlands,Apartment,3,4,2,1528,17500000,11452.88,2,2026,High End,7,0.75
