source,location,address,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,listing_url,listing_date
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,700,6500000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116936669,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,3.0,3.0,3.0,1668,21714000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116936654,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,3.0,3.0,3.0,1668,21714000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116936636,2026-02-23
property24,Westlands,"Muthithi Rd Nairobi, Westlands, Nairobi",Apartment,3.0,3.0,3.0,1668,21714000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116936626,2026-02-23
property24,Westlands,"Jalaram Rd Spring Valley, Westlands, Nairobi",Apartment,3.0,,2.0,1636,21000000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116950006,2026-02-23
property24,Kilimani,"Wood Ave Kilimani, Kilimani, Nairobi",Apartment,,1.0,1.0,463,5200000,https://www.property24.co.ke/apartment-flat-for-sale-in-kilimani-116952065,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1561,16450000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116949133,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1453,15150000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116949084,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1399,14450000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116948976,2026-02-23
property24,Kileleshwa,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi",Apartment,2.0,3.0,1.0,1184,9000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116940445,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,8940000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116941557,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,7000000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116941473,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1399,14450000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116949011,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,2.0,2.0,1.0,1238,14575000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116941674,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,2.0,2.0,1.0,1238,12000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116941613,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,3.0,4.0,2.0,2131,22550000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116949226,2026-02-23
property24,Kileleshwa,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi",Apartment,3.0,3.0,2.0,1464,12500000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kileleshwa-116940463,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1152,12300000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116946209,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1152,12300000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116946149,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1152,12300000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116946146,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,2.0,2.0,2.0,1087,9210000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931390,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,2.0,2.0,1.0,1087,9210000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931375,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,2.0,2.0,1.0,1087,9210000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931358,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,2.0,2.0,1.0,807,7150000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931342,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,2.0,2.0,2.0,807,7150000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931337,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,2.0,2.0,1.0,807,7150000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931318,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,1.0,1.0,1.0,700,5110000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931274,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,1.0,1.0,1.0,700,5110000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931260,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1561,16450000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116949178,2026-02-23
